path,filter,best_f1
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,median_21,0.8532423208191127
he_10_pic_run08012_ev74_unet_mean_gaussian_median_cygno,cygno_0,0.1723076923076923
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,unet_0,0.8767772511848343
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,mean_9,0.8049792531120332
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,mean_11,0.8465473145780051
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,mean_13,0.8729411764705882
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,mean_15,0.8752941176470588
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,mean_17,0.8780487804878048
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,mean_19,0.8798133022170362
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,mean_21,0.8800931315483119
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,gaussian_9,0.8164893617021278
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,gaussian_11,0.8714810281517748
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,gaussian_13,0.8787515006002401
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,gaussian_15,0.883495145631068
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,gaussian_17,0.8837772397094431
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,gaussian_19,0.8808664259927798
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,gaussian_21,0.8798076923076923
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,median_9,0.8207070707070706
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,median_11,0.8386308068459658
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,median_13,0.8452830188679246
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,median_15,0.845
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,median_17,0.8512110726643598
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,median_19,0.8511137162954279
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,median_21,0.8526946107784431
he_10_pic_run08012_ev48_unet_mean_gaussian_median_cygno,cygno_0,0.1806108897742364
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,unet_0,0.9016786570743406
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,mean_9,0.7694090382387022
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,mean_11,0.8664072632944229
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,mean_13,0.8902147971360382
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,mean_15,0.8902007083825265
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,mean_17,0.8914819136522754
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,mean_19,0.8946745562130177
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,mean_21,0.8883774453394707
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,gaussian_9,0.8159806295399517
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,gaussian_11,0.875
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,gaussian_13,0.8886255924170616
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,gaussian_15,0.8918590522478737
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,gaussian_17,0.891509433962264
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,gaussian_19,0.8926417370325692
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,gaussian_21,0.891509433962264
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,median_9,0.8699999999999999
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,median_11,0.8759493670886076
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,median_13,0.8823529411764706
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,median_15,0.8826291079812207
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,median_17,0.8862275449101796
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,median_19,0.8933177022274326
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,median_21,0.8891566265060241
he_10_pic_run08012_ev21_unet_mean_gaussian_median_cygno,cygno_0,0.17922077922077925
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,unet_0,0.8991228070175441
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,mean_9,0.8457711442786071
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,mean_11,0.878892733564014
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,mean_13,0.8839779005524863
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,mean_15,0.883668903803132
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,mean_17,0.8854625550660793
he_10_pic_run08012_ev71_unet_mean_gaussian_median_cygno,mean_19,0.8864142538975501
